created_at,"field1(Temperatura ºC )",field2(Humedad),field3(Voltage),"field4(WIFI RSSI)","field5(GSM RSSI)",field6(Light),"field7(RS485 Temperature ºC )","field8(RS485 Humidity)","field9(Presión atmosférica)","field10(tem 485 ºC )","field11(External Light)","field12(PT100 Temperature ºC )","field13(Wind Speed)","field14(Carbon Dioxide)","field15(RS485 Atmospheric Pressure)",status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-03-21T12:15:32-05:00,,,,-45,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T13:15:13-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T13:15:26-05:00,26.2016,46.9108,,,,63.45,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T13:15:30-05:00,,,,,,,,,101.8,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T13:15:34-05:00,,,,-42,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T14:15:13-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T14:15:26-05:00,25.9586,48.3986,,,,57,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T14:15:29-05:00,,,,-39,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T14:15:30-05:00,,,,,,,,,101.7,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T15:15:13-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T15:15:26-05:00,25.8465,47.6982,,,,58.95,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T15:15:29-05:00,,,,-36,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T15:15:31-05:00,,,,,,,,,101.6,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T16:15:13-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T16:15:26-05:00,25.5795,47.538,,,,63.45,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T16:15:31-05:00,,,,,,,,,101.5,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T16:15:42-05:00,,,,,,,,,,,,,,,,,,,,,,VR032M0GS1A,502,,
2025-03-21T16:15:43-05:00,,,,,,,,,,,,,,,,,,,,,,VR032M0GS1A,507,,
2025-03-21T17:15:14-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T17:15:26-05:00,25.3952,47.8523,,,,63.3,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T17:15:29-05:00,,,,,,,,,,,,,,,,,,,,"88:66:39:5d:00:cf,-37;c8:1f:be:be:a8:17,-45;c8:1f:be:af:85:9d,-45;68:e2:09:8b:90:74,-48;88:66:39:4c:2e:8b,-52",,VR032M0GS1A,,,
2025-03-21T17:15:31-05:00,,,,,,,,,101.6,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T17:15:35-05:00,,,,-44,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T18:15:14-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T18:15:27-05:00,25.2831,45.8213,,,,63.6,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T18:15:30-05:00,,,,-39,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T18:15:31-05:00,,,,,,,,,101.6,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T19:15:14-05:00,,,3.9183,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T19:15:28-05:00,25.1549,46.3645,,,,63.6,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T19:15:32-05:00,,,,-39,,,,,101.7,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T20:15:14-05:00,,,3.9183,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T20:15:28-05:00,24.9146,46.0868,,,,64.5,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T20:15:32-05:00,,,,-35,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T20:15:33-05:00,,,,,,,,,101.8,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T21:15:15-05:00,,,3.9183,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T21:15:28-05:00,24.8291,45.2338,,,,63.3,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T21:15:31-05:00,,,,-33,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T21:15:32-05:00,,,,,,,,,101.9,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T22:15:15-05:00,,,3.9183,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T22:15:29-05:00,24.8718,51.4061,,,,61.8,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T22:15:33-05:00,,,,,,,,,101.9,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T22:15:34-05:00,,,,-37,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T23:15:15-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T23:15:30-05:00,24.6342,44.6113,,,,62.85,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T23:15:33-05:00,,,,-35,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T23:15:34-05:00,,,,,,,,,101.9,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T00:15:15-05:00,,,3.9183,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T00:15:31-05:00,24.5781,43.888,,,,62.25,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T00:15:33-05:00,,,,-43,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T00:15:35-05:00,,,,,,,,,101.9,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T01:15:15-05:00,,,3.9183,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T01:15:31-05:00,24.3912,43.8392,,,,55.2,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T01:15:34-05:00,,,,-34,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T01:15:36-05:00,,,,,,,,,101.8,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T02:15:15-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T02:15:32-05:00,24.2229,44.0665,,,,61.35,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T02:15:35-05:00,,,,-40,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T02:15:36-05:00,,,,,,,,,101.7,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T03:15:15-05:00,,,3.9183,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T03:15:33-05:00,23.9426,44.4053,,,,55.2,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T03:15:37-05:00,,,,-36,,,,,101.7,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T04:15:15-05:00,,,3.9183,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T04:15:33-05:00,24.012,53.0022,,,,48.45,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T04:15:36-05:00,,,,-34,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T04:15:38-05:00,,,,,,,,,101.7,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T05:15:15-05:00,,,3.9183,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T05:15:34-05:00,24.1402,46.3966,,,,56.7,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T05:15:36-05:00,,,,-36,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
