created_at,"field1(Temperatura ºC )",field2(Humedad),field3(Voltage),"field4(WIFI RSSI)","field5(GSM RSSI)",field6(Light),"field7(RS485 Temperature ºC )","field8(RS485 Humidity)","field9(Presión atmosférica)","field10(RS485 Soil Moisture)","field11(External Light)","field12(PT100 Temperature ºC )","field13(Wind Speed)","field14(Carbon Dioxide)","field15(RS485 Atmospheric Pressure)",status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-03-22T11:49:32-05:00,,,,-73,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T12:49:17-05:00,23.1628,48.893,3.8813,,,144,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T12:49:20-05:00,,,,-77,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T12:49:22-05:00,,,,,,,,,101.6,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T13:49:18-05:00,23.024,48.333,3.8813,,,124.8,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T13:49:22-05:00,,,,,,,,,101.5,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T13:49:23-05:00,,,,-70,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T14:49:18-05:00,22.9519,48.6549,3.8813,,,82.95,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T14:49:23-05:00,,,,,,,,,101.5,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T14:49:30-05:00,,,,-74,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T15:49:18-05:00,22.8397,51.2764,3.8813,,,54.45,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T15:49:21-05:00,,,,-64,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T15:49:23-05:00,,,,,,,,,101.4,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T16:49:19-05:00,22.7382,50.869,3.8813,,,52.8,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T16:49:21-05:00,,,,-70,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
